Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_Metric_N,Good_Metric_MOCA_Mean,Good_Metric_MOCA_Std,Bad_Metric_N,Bad_Metric_MOCA_Mean,Bad_Metric_MOCA_Std,Good_Normal,Bad_Normal
VascularCompliance_Myogenic,Metric_to_MOCA,Mann-Whitney,0.44509885823999806,0.1011427997400549,ns,50,-0.64,1.84899310712725,7,0.0,1.9148542155126762,False,False
AmplitudeCorr_Myogenic,Metric_to_MOCA,t-test,0.0697953537111841,0.5077818827594882,ns,21,-1.1428571428571428,1.9820624179302297,36,-0.2222222222222222,1.7089865185644153,True,True
TransferCoherence_Myogenic,Metric_to_MOCA,Mann-Whitney,0.21141595656622858,0.16552434428587398,ns,11,-1.1818181818181819,1.4709304414677,46,-0.41304347826086957,1.915737014618328,True,False
TransferGainVariability_Myogenic,Metric_to_MOCA,Mann-Whitney,0.6349627729532411,0.06288261998111107,ns,53,-0.5849056603773585,1.791367787089293,4,-0.25,2.8722813232690143,False,True
TransferPhaseVariability_Myogenic,Metric_to_MOCA,Mann-Whitney,0.023075544657594503,0.30095780390085786,*,28,0.03571428571428571,1.855565060331136,29,-1.1379310344827587,1.6844697752246314,False,True
WaveletCoherence_Myogenic,Metric_to_MOCA,Mann-Whitney,0.11782028068174931,0.20715533092021998,ns,17,-1.1176470588235294,1.727800369732296,40,-0.325,1.8727122795697373,True,False
PLV_Myogenic,Metric_to_MOCA,Mann-Whitney,0.3524247370429101,0.12316778451458596,ns,28,-0.7857142857142857,1.8329725474726457,29,-0.3448275862068966,1.8760875335382239,False,True
wPLI_Myogenic,Metric_to_MOCA,Mann-Whitney,0.23859244453501693,0.15609776318119706,ns,41,-0.36585365853658536,1.8269660308962454,16,-1.0625,1.8786076404259264,False,True
AutonomicModulation_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.013732434684246104,0.35567479388320733,*,22,-1.1818181818181819,1.7898221150335591,26,0.07692307692307693,1.718675697694639,True,False
AutoregulationEffectiveness_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.10081135382230576,0.21734686634444753,ns,49,-0.3877551020408163,1.8006518094222188,8,-1.625,1.9226098333849673,False,True
BilateralEfficiency_Neurogenic,Metric_to_MOCA,t-test,0.8198244848548941,0.06884021491807514,ns,15,-0.4666666666666667,2.099886618254378,42,-0.5952380952380952,1.781469985091427,True,True
COx_CI_Lower_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.39917145476753446,0.11167157503084076,ns,52,-0.4807692307692308,1.7544384567839744,5,-1.4,2.7928480087537886,False,True
COx_Stability_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.35783332399727896,0.1402226634126176,ns,14,-0.5,1.5566235649883124,29,-0.10344827586206896,2.143842138148351,True,False
COx_SingleHemisphere_Neurogenic,Metric_to_MOCA,t-test,0.49639851275113855,0.21069282418604462,ns,14,-0.8571428571428571,2.1070264449124596,43,-0.46511627906976744,1.7774893638326519,True,True
COx_Window_SE_rSO2_Neurogenic,Metric_to_MOCA,t-test,0.42830429554095373,0.21408002521990765,ns,24,-0.7916666666666666,1.793203755891931,33,-0.3939393939393939,1.9029482707662133,True,True
XCorr_MaxCorr_Neurogenic,Metric_to_MOCA,t-test,0.3947394400513019,0.22896319022980766,ns,25,-0.8,1.9790570145063195,32,-0.375,1.75517667523538,True,True
XCorr_OptimalLag_Neurogenic,Metric_to_MOCA,t-test,0.2545371504942831,0.3073471593348884,ns,25,-0.88,1.943364779619788,32,-0.3125,1.7677669529663689,True,True
XCorr_Width_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.8020710196577205,0.03320175060827969,ns,29,-0.6206896551724138,1.953271854084984,28,-0.5,1.7743021580745904,False,True
SE_Power_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.20007015194863298,0.1697191822045861,ns,13,-1.0769230769230769,1.5525000516123695,44,-0.4090909090909091,1.920733651234653,True,False
rSO2_Power_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.05732242183669059,0.251772965741795,ns,54,-0.4444444444444444,1.8084358577434607,3,-2.6666666666666665,1.5275252316519465,False,True
PowerRatio_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.016911552556838523,0.31638111503949595,*,20,-1.35,1.7252002172135512,37,-0.13513513513513514,1.7975625806161053,True,False
Bandwidth_SE_Neurogenic,Metric_to_MOCA,t-test,0.8908525282844019,0.03679923400883038,ns,32,-0.53125,1.866242991473995,25,-0.6,1.8708286933869707,True,True
Bandwidth_rSO2_Neurogenic,Metric_to_MOCA,t-test,0.8516866564978519,0.05780257548441918,ns,14,-0.6428571428571429,1.9057460827371866,43,-0.5348837209302325,1.8561203420717343,True,True
Bidirectional_Causality_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.11902042940604077,0.2350127761275023,ns,41,-0.36585365853658536,1.867566565894983,3,-2.0,1.0,False,True
Lx_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.04388725712670899,0.2669152591800622,*,16,0.25,1.4832396974191326,41,-0.8780487804878049,1.8999358140634584,True,False
SympatheticTone_SE,Metric_to_MOCA,Mann-Whitney,0.24700403907780033,0.15333541522620597,ns,19,-0.9473684210526315,1.6490294859747157,38,-0.3684210526315789,1.93713430908564,True,False
SympatheticTone_rSO2,Metric_to_MOCA,Mann-Whitney,0.5201956639897838,0.08517323519301415,ns,52,-0.6153846153846154,1.859304594374099,5,0.0,1.8708286933869707,False,True
AutonomicBalance,Metric_to_MOCA,t-test,0.24026440019192283,0.40355244003747565,ns,11,-1.2727272727272727,1.5550504230351558,41,-0.5365853658536586,1.88543842349213,True,True
NeurogenicCouplingEfficiency,Metric_to_MOCA,Mann-Whitney,0.35563031522404287,0.12235016097587284,ns,7,-1.2857142857142858,2.2886885410853175,50,-0.46,1.7866854502007854,True,False
NeurogenicBurstDuration,Metric_to_MOCA,Mann-Whitney,0.2791115100363797,0.14335644375910372,ns,49,-0.46938775510204084,1.915964083000237,8,-1.125,1.3562026818605375,False,False
AmplitudeCorr_Neurogenic,Metric_to_MOCA,t-test,0.03220285198635661,0.582979559917915,*,27,-1.1111111111111112,1.8045526471705546,30,-0.06666666666666667,1.7798359733284477,True,True
TransferGain_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.35869399019474013,0.12157306529681473,ns,53,-0.6226415094339622,1.8731546313263132,4,0.25,1.5,False,True
TransferCoherence_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.06572898055557357,0.24374937932787658,ns,9,-1.6666666666666667,1.5811388300841895,48,-0.3541666666666667,1.8391670563037243,True,False
TransferPhaseVariability_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.10400141383208948,0.21533674104305411,ns,36,-0.2222222222222222,1.6232438618151726,21,-1.1428571428571428,2.104417123236605,False,True
WaveletCoherence_Neurogenic,Metric_to_MOCA,t-test,0.046226295977429215,0.5811267611210893,*,18,-1.2777777777777777,1.8086574662067332,39,-0.23076923076923078,1.798559927765873,True,True
PLV_Neurogenic,Metric_to_MOCA,t-test,0.8222525465864288,0.06535236374700173,ns,40,-0.525,1.921371038260613,17,-0.6470588235294118,1.7299268940690902,True,True
wPLI_Neurogenic,Metric_to_MOCA,t-test,0.18766143997762788,0.360188601541036,ns,34,-0.29411764705882354,1.8509524454822495,23,-0.9565217391304348,1.821045176154847,True,True
AutonomicModulation_Respiratory,Metric_to_MOCA,t-test,0.4899296289627839,0.23982228202213957,ns,11,-0.8181818181818182,1.7786613965666325,36,-0.3888888888888889,1.793285536626283,True,True
rSO2_to_SE_Causality_Respiratory,Metric_to_MOCA,Mann-Whitney,0.034476156910734246,0.29044316176456453,*,49,-0.40816326530612246,1.836191340643938,4,-2.5,1.2909944487358056,False,True
Bidirectional_Causality_Respiratory,Metric_to_MOCA,Mann-Whitney,0.03468188547513615,0.28478919697964106,*,48,-0.4166666666666667,1.866084002274844,7,-2.0,1.1547005383792515,False,True
RespiratoryPhaseLag,Metric_to_MOCA,t-test,0.28700435737981617,0.3393954014209013,ns,13,-0.07692307692307693,1.84668795692624,44,-0.7045454545454546,1.8499471451223408,True,True
RespiratoryRateVariability,Metric_to_MOCA,t-test,0.6492573085160102,0.14435765556740662,ns,44,-0.5,1.8108201919135596,13,-0.7692307692307693,2.0475125621855637,True,True
AutoregulationEffectiveness_VLF,Metric_to_MOCA,Mann-Whitney,0.6681445573689593,0.056782156795342764,ns,52,-0.5192307692307693,1.7985875135062437,5,-1.0,2.5495097567963922,False,True
AutoregulationTimeConstant_VLF,Metric_to_MOCA,t-test,0.033618698130152336,0.7181888296055687,*,33,-0.30303030303030304,1.7227312704838877,13,-1.5384615384615385,1.7134460703206962,True,True
BilateralEfficiency_VLF,Metric_to_MOCA,t-test,0.8730299518983342,0.04732786997461072,ns,16,-0.625,1.9958289839896939,41,-0.5365853658536586,1.8179323553918305,True,True
COx_CI_Lower_VLF,Metric_to_MOCA,Mann-Whitney,0.342948208302154,0.12561283193522943,ns,50,-0.46,1.775226343717491,7,-1.2857142857142858,2.3603873774083297,False,True
COx_Stability_VLF,Metric_to_MOCA,Mann-Whitney,0.7294676126519524,0.05336331578206543,ns,15,-0.6666666666666666,1.4960264830861913,27,-0.5185185185185185,2.259516121963529,True,False
COx_SingleHemisphere_VLF,Metric_to_MOCA,t-test,0.006191584222772139,0.8760632603095537,**,14,-1.7142857142857142,1.8156825980064075,43,-0.18604651162790697,1.7217905125809387,True,True
COx_Window_SE_rSO2_VLF,Metric_to_MOCA,t-test,0.26965400866415,0.3133176110896553,ns,19,-0.9473684210526315,1.8995228702237106,38,-0.3684210526315789,1.8221023294547065,True,True
XCorr_MaxCorr_VLF,Metric_to_MOCA,t-test,0.1177730052636515,0.44649528674147654,ns,19,-1.105263157894737,1.8225359878204286,38,-0.2894736842105263,1.8293093473980697,True,True
XCorr_OptimalLag_VLF,Metric_to_MOCA,t-test,0.7007984906689569,0.10509099569602307,ns,22,-0.6818181818181818,1.7289237950752743,35,-0.4857142857142857,1.9459071462556325,True,True
XCorr_Width_VLF,Metric_to_MOCA,Mann-Whitney,0.18921774548580472,0.17389742138695694,ns,37,-0.7837837837837838,1.7181245449477613,20,-0.15,2.058998223459779,False,True
SE_Power_VLF,Metric_to_MOCA,Mann-Whitney,0.4139137187629722,0.10821770284695095,ns,14,-0.8571428571428571,1.70326125450528,43,-0.46511627906976744,1.9067403899662592,True,False
PowerRatio_VLF,Metric_to_MOCA,Mann-Whitney,0.03832534779259455,0.2743580764961354,*,13,-1.4615384615384615,1.6132464481796025,44,-0.29545454545454547,1.8499471451223408,True,False
Bandwidth_SE_VLF,Metric_to_MOCA,t-test,0.7073702536762638,0.1628598439975524,ns,51,-0.5294117647058824,1.7361214378777836,6,-0.8333333333333334,2.8577380332470415,True,True
Bandwidth_rSO2_VLF,Metric_to_MOCA,Mann-Whitney,0.5055300862199159,0.08818919982444107,ns,46,-0.6304347826086957,1.8780450314347146,11,-0.2727272727272727,1.7939291563999449,False,True
Bidirectional_Causality_VLF,Metric_to_MOCA,Mann-Whitney,0.6272925991387418,0.07082344154530351,ns,44,-0.4772727272727273,1.861340306833641,3,-1.0,2.6457513110645907,False,True
Lx_VLF,Metric_to_MOCA,Mann-Whitney,0.12479182934349613,0.20331140241104345,ns,19,0.0,1.632993161855452,38,-0.8421052631578947,1.9105159313011066,True,False
AmplitudeCorr_VLF,Metric_to_MOCA,t-test,0.37955978282653413,0.2391608218226277,ns,23,-0.8260869565217391,1.9224079103855778,34,-0.38235294117647056,1.8093143834956988,True,True
TransferCoherence_VLF,Metric_to_MOCA,Mann-Whitney,0.3952177485368955,0.11261082439120934,ns,11,-1.0,1.7888543819998317,46,-0.45652173913043476,1.8703121752398024,True,False
TransferPhaseVariability_VLF,Metric_to_MOCA,Mann-Whitney,0.02901850990500563,0.28917653755598444,*,29,0.0,1.7728105208558367,28,-1.1428571428571428,1.7787695646207702,False,True
PhaseMargin_VLF,Metric_to_MOCA,Mann-Whitney,0.38996042341355,0.11386860814370975,ns,33,-0.7575757575757576,1.7858874374926152,24,-0.2916666666666667,1.944427191089776,False,True
GainMargin_VLF,Metric_to_MOCA,t-test,0.41438368415493587,0.28640948379816944,ns,47,-0.46808510638297873,1.8160044990102677,10,-1.0,2.0548046676563256,True,True
WaveletCoherence_VLF,Metric_to_MOCA,Mann-Whitney,0.07321535418537553,0.23728810507276013,ns,18,-1.1666666666666667,1.6890651782777917,39,-0.28205128205128205,1.8771299193564226,True,False
PLV_VLF,Metric_to_MOCA,t-test,0.9683953335026876,0.010545356313263836,ns,29,-0.5517241379310345,1.9925971368426922,28,-0.5714285714285714,1.7305227518611233,True,True
wPLI_VLF,Metric_to_MOCA,t-test,0.4794548828239301,0.19761537187117134,ns,37,-0.43243243243243246,1.8187379711788632,20,-0.8,1.9358120830939742,True,True
